video_id,title,published_at,period,duration,view_count,comment_count,youtube_url,current_db_label,review_label,needs_review,candidate_confidence,label_status,labeler,labeled_at,notes,evidence
Xktj3rQxVrw,8小時戲曲速成直接上台演出！使出渾身解術後空翻飛踢樣樣來！｜The DoDo Men 嘟嘟人,2022-06-15T13:00:28Z,pre,PT19M36S,173880,235,https://www.youtube.com/watch?v=Xktj3rQxVrw,collab,collab,False,,,human,2026-05-02 17:50:27,,
746Blo_HyMI,苦練一個月困難重重的倒立挑戰！手腕受傷還是不能放棄...｜The DoDo Men 嘟嘟人,2022-06-22T13:00:41Z,pre,PT19M14S,199027,191,https://www.youtube.com/watch?v=746Blo_HyMI,eric,eric,False,,,human,2026-05-02 17:50:27,,
WlUjUwb1k7o,3天跟粉絲一起跑50公里的心路歷程！回顧台灣環島3k慢跑粉絲快閃｜The DoDo Men 嘟嘟人,2022-06-29T14:16:12Z,pre,PT1H11M24S,103852,69,https://www.youtube.com/watch?v=WlUjUwb1k7o,collab,collab,False,,,human,2026-05-02 17:50:27,,
KarUG8IGn_c,實測突然變成70歲老人！爸媽還認得出來嗎？!｜The DoDo Men 嘟嘟人,2022-07-06T13:00:19Z,pre,PT19M1S,339179,318,https://www.youtube.com/watch?v=KarUG8IGn_c,collab,collab,False,,,human,2026-05-02 17:50:27,,
dqC_loBDOLY,50萬訂閱特別企劃！第一次辦兩天一夜的營隊！帶粉絲找回初衷！｜The DoDo Men 嘟嘟人,2022-07-13T13:00:10Z,pre,PT31M43S,270984,238,https://www.youtube.com/watch?v=dqC_loBDOLY,collab,collab,False,,,human,2026-05-02 17:50:27,,
NEorXWXlj-o,60萬訂閱特別企劃！環島實現粉絲的願望！竟然有粉絲想跟我們做這個?!,2022-07-20T13:00:14Z,pre,PT27M54S,386498,270,https://www.youtube.com/watch?v=NEorXWXlj-o,collab,collab,False,,,human,2026-05-02 17:50:27,,
EfNNwPsEaFI,當CEO很難嗎？跨國AI公司的福利也太好了吧！絕對不能讓我們員工看到這一集！｜The DoDo Men 嘟嘟人,2022-07-27T13:00:08Z,pre,PT18M31S,382595,234,https://www.youtube.com/watch?v=EfNNwPsEaFI,collab,collab,False,,,human,2026-05-02 17:50:27,,
WETvXvRSMv4,第一次見面就被抓去山裡過夜！史上最outdoor約會，結果超狼狽...｜The DoDo Men 嘟嘟人,2022-08-03T13:00:18Z,pre,PT25M40S,355579,257,https://www.youtube.com/watch?v=WETvXvRSMv4,collab,collab,False,,,human,2026-05-02 17:50:27,,
9ljX3k9gJro,沒想到這挑戰有先天限制？究竟誰才是天選之人？｜The DoDo Men 嘟嘟人,2022-08-10T13:00:04Z,pre,PT18M13S,415581,224,https://www.youtube.com/watch?v=9ljX3k9gJro,collab,collab,False,,,human,2026-05-02 17:50:27,,
hK5kDScjAWY,上千人參與的環島路跑！粉絲還送上超扯的禮物！,2022-08-17T13:00:10Z,pre,PT30M58S,624350,549,https://www.youtube.com/watch?v=hK5kDScjAWY,collab,collab,False,,,human,2026-05-02 17:50:27,,
-0sMh_oXXqw,請問一下，你想現在去高空彈跳嗎？｜The DoDo Men 嘟嘟人,2022-08-24T13:00:00Z,pre,PT23M38S,711000,487,https://www.youtube.com/watch?v=-0sMh_oXXqw,collab,collab,False,,,human,2026-05-02 17:50:27,,
9pKRcWyEfZs,在機場擲硬幣決定目的地！竟誤闖無人島！｜The DoDo Men 嘟嘟人,2022-08-31T13:00:06Z,pre,PT22M6S,572096,351,https://www.youtube.com/watch?v=9pKRcWyEfZs,collab,collab,False,,,human,2026-05-02 17:50:27,,
TlEErSVcv3A,24小時瘋狂應徵！不花錢在外島打工居然可以換到這個！｜The DoDo Men 嘟嘟人,2022-09-07T13:00:27Z,pre,PT20M55S,563205,311,https://www.youtube.com/watch?v=TlEErSVcv3A,collab,collab,False,,,human,2026-05-02 17:50:27,,
52QmzKUvcjU,一天內用十元硬幣換到兩張機票！｜The DoDo Men 嘟嘟人,2022-09-14T13:00:02Z,pre,PT22M23S,623815,1105,https://www.youtube.com/watch?v=52QmzKUvcjU,collab,collab,False,,,human,2026-05-02 17:50:27,,
